"Search.Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Country"	"Region"	"Location.Name"	"Latitude"	"Longitude"	"Focal.Depth..km."	"Mag"	"MMI.Int"	"Deaths"	"Death.Description"	"Missing"	"Missing.Description"	"Injuries"	"Injuries.Description"	"Damage...Mil."	"Damage.Description"	"Houses.Destroyed"	"Houses.Destroyed.Description"	"Houses.Damaged"	"Houses.Damaged.Description"	"Total.Deaths"	"Total.Death.Description"	"Total.Missing"	"Total.Missing.Description"	"Total.Injuries"	"Total.Injuries.Description"	"Total.Damage...Mil."	"Total.Damage.Description"	"Total.Houses.Destroyed"	"Total.Houses.Destroyed.Description"	"Total.Houses.Damaged"	"Total.Houses.Damaged.Description"	"Mag.full"	"Freq.Country"
"298"	""	1953	5	6	17	16	43	1836	NA	"CHILE"	160	"CHILE:  CHILLAN, CONCEPCION"	-36.5	-72.5	60	7.6	10	9	1	NA	NA	26	1	500	4	NA	NA	NA	NA	9	1	NA	NA	26	1	500	4	NA	NA	NA	NA	7	43
"299"	""	1953	8	12	9	23	52	3398	NA	"GREECE"	130	"GREECE:  LIXOURI-ARGOSTOLI (KEPHALLENIA)"	38.3	20.8	NA	7.2	10	476	3	NA	NA	2412	4	100	4	30439	4	2394	4	476	3	NA	NA	2412	4	100	4	30439	4	2394	4	7	46
"300"	""	1953	11	25	17	48	NA	1841	NA	"JAPAN"	30	"JAPAN:  KASHIMA"	34	141.7	60	7.4	NA	1	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	7	63
"301"	""	1953	12	7	2	5	0	NA	NA	"CHILE"	160	"CHILE:  NORTHERN"	-22.1	-68.7	128	7.4	NA	3	1	NA	NA	NA	NA	7.31	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	43
"302"	""	1953	12	12	17	31	25	1842	NA	"PERU"	160	"PERU-ECUADOR"	-3.4	-80.6	30	7.4	9	6	1	NA	NA	20	1	NA	2	200	3	NA	NA	6	1	NA	NA	20	1	NA	2	200	3	NA	NA	7	67
"303"	""	1954	2	5	15	18	4.9	NA	NA	"MEXICO"	150	"MEXICO:  CHIAPAS"	17.283	-92.382	85	6.1	NA	6	1	NA	NA	NA	NA	17	3	NA	NA	NA	4	6	1	NA	NA	NA	NA	17	3	NA	NA	NA	4	6	53
"304"	""	1954	4	20	NA	NA	0	NA	NA	"GREECE"	130	"GREECE"	39.8	22.1	NA	7	NA	25	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	46
"305"	""	1954	4	30	13	2	0	NA	NA	"GREECE"	130	"GREECE:  SOPHADES (KARDITSA)"	39.3	22.2	NA	7	10	31	1	NA	NA	NA	NA	3.15	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	46
"306"	""	1954	7	2	2	45	0	NA	NA	"PHILIPPINES"	170	"PHILIPPINES:  LUZON:  SORSOGON, BACON, LEGASPI"	13	123.9	NA	6.8	9	13	1	NA	NA	101	3	NA	2	NA	NA	NA	NA	13	1	NA	NA	101	3	NA	NA	NA	NA	NA	NA	6	49
"307"	""	1954	8	20	15	30	0	NA	NA	"IRAN"	140	"IRAN:  TONBAK,KANGAN,SABAKHI,AKHTAR"	27.5	52	NA	5	NA	1	1	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	138
"308"	""	1954	9	9	1	4	43.4	3394	NA	"ALGERIA"	15	"ALGERIA:  ORLEANSVILLE"	36.274	1.594	15	6.7	11	1243	4	NA	NA	5000	4	6	3	20000	4	NA	NA	1243	4	NA	NA	5000	4	6	3	20000	4	NA	NA	6	22
"309"	""	1954	12	21	19	56	29.6	NA	NA	"USA"	150	"CALIFORNIA:  HUMBOLDT COUNTY"	40.846	-123.893	15	6.6	NA	1	1	NA	NA	NA	1	2.1	2	NA	NA	NA	NA	1	1	NA	NA	NA	1	2.1	2	NA	NA	NA	NA	6	36
"310"	""	1955	3	31	18	18	0	NA	NA	"PHILIPPINES"	170	"PHILIPPINES:  MINDANAO:  LANAO,OZAMIZ,COTABATO"	8.1	123.2	96	7.6	8	400	3	NA	NA	NA	NA	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	49
"311"	""	1955	4	14	1	29	2	NA	NA	"CHINA"	30	"CHINA:  SICHUAN PROVINCE"	30	101.8	NA	7.5	9	39	1	NA	NA	113	3	NA	2	500	3	NA	NA	39	1	NA	NA	113	3	NA	2	500	3	NA	NA	7	152
"312"	""	1955	4	19	16	47	19	3393	NA	"GREECE"	130	"GREECE:  DRAKIA-AGRIA (MAGNESIA)"	39.4	23.1	33	6.2	10	8	1	NA	NA	149	3	NA	4	459	3	8352	4	8	1	NA	NA	149	3	NA	4	459	3	8352	4	6	46
"313"	""	1955	4	21	7	18	0	NA	NA	"GREECE"	130	"GREECE:  AEGEAN SEA"	39.5	23	NA	6	10	7	1	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	46
"314"	""	1955	7	16	7	7	0	NA	NA	"TURKEY"	140	"TURKEY:  SOKE, AYDIN"	37.5	27	NA	6.8	9	4	1	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	104
"315"	""	1955	9	1	17	33	0	NA	NA	"COSTA RICA"	100	"COSTA RICA"	10	-84.5	NA	5.8	NA	10	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	12
"316"	""	1955	9	12	6	9	20	NA	NA	"EGYPT"	15	"EGYPT:  NILE DELTA"	32.2	29.6	NA	6.3	NA	22	1	NA	NA	12	1	NA	3	NA	NA	NA	NA	22	1	NA	NA	12	1	NA	3	NA	NA	NA	NA	6	4
"317"	""	1956	2	20	20	31	0	NA	NA	"TURKEY"	140	"TURKEY:  ESKISEHIR"	40	30.5	NA	5.8	8	4	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	104
"318"	""	1956	6	9	NA	NA	0	NA	NA	"AFGHANISTAN"	40	"AFGHANISTAN:  KABUL"	35.1	67.5	60	7.6	NA	100	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	35
"319"	""	1956	7	9	3	11	45.1	1859	NA	"GREECE"	130	"GREECE:  DODECANESE"	36.664	25.957	20	7.7	9	53	2	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	56	2	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	7	46
"320"	""	1956	7	16	15	7	0	NA	NA	"MYANMAR (BURMA)"	60	"MYANMAR (BURMA)"	22.2	95.7	39	7	NA	38	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	11
"321"	""	1956	7	21	15	32	30.1	NA	NA	"INDIA"	60	"INDIA:  ANJAR, BHUJ, GANDHIDHAM, KANDLA"	23.278	70.107	15	6	9	156	3	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	156	3	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	6	32
"322"	""	1956	10	31	14	3	47.2	NA	NA	"IRAN"	140	"IRAN:  BASTAK"	27.407	54.462	15	6.4	8	410	3	NA	NA	NA	NA	2.8	2	NA	NA	NA	NA	410	3	NA	NA	NA	NA	2.8	2	NA	NA	NA	NA	6	138
"323"	""	1957	2	23	20	26	14	NA	NA	"TAIWAN"	30	"TAIWAN:  HUALIEN, TAIPEI"	23.9	121.6	69	7.2	NA	11	1	NA	NA	NA	3	NA	2	NA	NA	NA	NA	11	1	NA	NA	NA	3	NA	2	NA	NA	NA	NA	7	54
"324"	""	1957	3	8	12	21	14	NA	NA	"GREECE"	130	"GREECE:  STEPHANOVIKION-VELESTNON (MAGNESIA)"	39.4	22.8	NA	7	10	2	1	NA	NA	NA	3	NA	2	NA	NA	NA	NA	2	1	NA	NA	NA	3	NA	2	NA	NA	NA	NA	7	46
"325"	""	1957	4	25	2	25	41.2	NA	NA	"TURKEY"	140	"TURKEY:  FETHIYE (LYCIA, ASIA MINOR)"	36.405	28.699	35	7.3	10	18	1	NA	NA	92	1	NA	4	3000	4	5000	4	18	1	NA	NA	92	1	NA	4	3000	4	5000	4	7	104
"326"	""	1957	5	26	6	33	38	NA	NA	"TURKEY"	140	"TURKEY:  ABANT"	40.73	31.09	25	7.1	9	52	2	NA	NA	NA	3	NA	3	NA	NA	NA	4	52	2	NA	NA	NA	3	NA	3	NA	NA	NA	4	7	104
"327"	""	1957	7	2	0	42	26.4	NA	NA	"IRAN"	140	"IRAN:  HAZANDERAN, ABEGARM"	36.277	52.778	15	6.6	9	1100	4	NA	NA	NA	3	NA	3	NA	NA	NA	NA	1100	4	NA	NA	NA	3	NA	3	NA	NA	NA	NA	6	138
"328"	""	1957	7	28	8	40	1	1870	NA	"MEXICO"	150	"MEXICO:  ACAPULCO,MEXICO CITY"	16.5	-99.1	25	7.9	7	65	2	NA	NA	NA	3	25	4	NA	3	NA	NA	65	2	NA	NA	NA	3	25	4	NA	3	NA	NA	7	53
"329"	""	1957	12	13	1	45	4.8	NA	NA	"IRAN"	140	"IRAN:  FARSINAJ"	34.388	47.748	15	6.5	8	1200	4	NA	NA	NA	3	NA	3	NA	NA	NA	NA	1200	4	NA	NA	NA	3	NA	3	NA	NA	NA	NA	6	138
"330"	""	1958	1	15	19	14	0	NA	NA	"PERU"	160	"PERU: AREQUIPA"	-16.5	-72	60	7.3	9	28	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	67
"331"	""	1958	1	19	14	7	27	1877	NA	"COLOMBIA"	160	"COLOMBIA-ECUADOR"	1.5	-79.5	60	7.6	9	111	3	NA	NA	46	1	NA	2	NA	2	NA	NA	115	3	NA	NA	46	1	NA	2	NA	2	NA	NA	7	32
"332"	""	1958	8	16	19	13	48.3	NA	NA	"IRAN"	140	"IRAN:  FIRUZABAD"	34.29	47.867	15	6.7	7	132	3	NA	NA	948	3	NA	3	2500	4	NA	NA	132	3	NA	NA	948	3	NA	3	2500	4	NA	NA	6	138
"333"	""	1958	9	4	21	51	16.9	NA	NA	"CHILE"	160	"CHILE-ARGENTINA"	-33.785	-70.112	NA	6.8	NA	7	1	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	43
"334"	""	1958	9	21	16	18	0	NA	NA	"IRAN"	140	"IRAN"	36	49	NA	5.2	6	16	1	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	16	1	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	5	138
"335"	""	1958	10	20	1	12	37	NA	NA	"INDONESIA"	60	"INDONESIA:  JAVA:  MALANG"	-9.5	112.5	100	6.7	8	8	1	NA	NA	1856	4	NA	2	95	2	206	3	8	1	NA	NA	1856	4	NA	2	95	2	206	3	6	125
"336"	""	1959	4	26	20	40	38	NA	NA	"TAIWAN"	30	"TAIWAN:  TAIPEI"	24.78	122.7	150	7.5	NA	2	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	7	54
"337"	""	1959	5	4	7	15	42	1890	NA	"RUSSIA"	50	"RUSSIA:  NEAR EAST COAST OF KAMCHATKA"	52.5	159.5	60	8.2	10	1	1	NA	NA	13	1	NA	2	NA	2	NA	NA	1	1	NA	NA	13	1	NA	2	NA	2	NA	NA	8	8
"338"	""	1959	8	15	8	57	3	NA	NA	"TAIWAN"	30	"TAIWAN"	22.18	121.13	60	7	NA	16	1	NA	NA	63	2	NA	3	NA	3	NA	NA	16	1	NA	NA	63	2	NA	3	NA	3	NA	NA	7	54
"339"	""	1959	8	18	6	37	13.5	2371	NA	"USA"	150	"MONTANA:  HEBGEN LAKE"	44.712	-111.215	5	7.7	10	28	1	NA	NA	NA	NA	11	3	NA	NA	NA	2	28	1	NA	NA	NA	NA	11	3	NA	NA	NA	2	7	36
"340"	""	1959	8	26	8	25	31	NA	NA	"MEXICO"	150	"MEXICO:  GULF OF CAMPECHE"	18.3	-94.4	NA	6.9	NA	25	1	NA	NA	200	3	NA	3	NA	3	NA	NA	25	1	NA	NA	200	3	NA	3	NA	3	NA	NA	6	53
"341"	""	1959	9	1	11	37	0	NA	NA	"ALBANIA"	130	"ALBANIA"	40.9	19.8	11	6.1	10	2	1	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	11
"342"	""	1959	10	25	15	57	0	NA	NA	"TURKEY"	140	"TURKEY:  NINIA"	39.1	41.6	NA	6.2	NA	18	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	104
"343"	""	1960	1	13	15	40	34	1896	NA	"PERU"	160	"PERU:  AREQUIPA,CHUQUIBAMBA,CARAVELI,COTAHUASI"	-15.75	-72.75	160	7.8	10	63	2	NA	NA	200	3	NA	3	NA	3	NA	NA	63	2	NA	NA	200	3	NA	3	NA	3	NA	NA	7	67
"344"	""	1960	1	15	9	30	0	NA	NA	"PERU"	160	"PERU:  LIMA,NAZCA,ICA,HUANCAVELIC,PALPA,HUAITARA"	-15	-75	150	7	NA	63	2	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	67
"345"	""	1960	2	21	8	13	31	NA	NA	"ALGERIA"	15	"ALGERIA:  MELOUZA"	36	4.1	33	5.6	NA	47	1	NA	NA	88	2	NA	2	NA	NA	NA	NA	47	1	NA	NA	88	2	NA	2	NA	NA	NA	NA	5	22
"346"	""	1960	4	24	12	14	31.7	NA	NA	"IRAN"	140	"IRAN:  LAR"	27.814	54.497	15	5.9	7	420	3	NA	NA	3000	4	20	3	NA	NA	NA	NA	420	3	NA	NA	3000	4	20	3	NA	NA	NA	NA	5	138
"347"	""	1960	5	22	19	11	17	1902	4153	"CHILE"	160	"CHILE:  PUERTO MONTT, VALDIVIA"	-38.143	-73.407	33	9.5	12	2000	4	NA	NA	3000	4	1000	4	58622	4	NA	NA	2226	4	NA	NA	3000	4	1000	4	58622	4	NA	NA	9	43
"348"	""	1960	5	26	5	10	0	NA	NA	"GREECE"	130	"GREECE-ALBANIA"	40	20	NA	6.5	NA	8	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	46
"349"	""	1960	9	22	9	5	32.5	NA	NA	"CONGO"	10	"CONGO:  LAKE TANGANYIKA"	-3.6	29	28	6.6	NA	24	1	NA	NA	NA	NA	NA	2	NA	NA	NA	3	24	1	NA	NA	NA	NA	NA	2	NA	NA	NA	3	6	6
"350"	""	1961	2	26	18	10	48.7	1914	NA	"JAPAN"	30	"JAPAN:  MIYAZAKI"	31.6	131.8	74	7.3	NA	2	1	NA	NA	7	1	NA	2	170	3	170	3	2	1	NA	NA	7	1	NA	2	170	3	NA	NA	7	63
"351"	""	1961	3	16	13	45	35.6	NA	NA	"INDONESIA"	60	"INDONESIA:  FLORES:  ENDEH"	-8.2	122	74	6.5	8	2	1	NA	NA	6	1	NA	2	NA	NA	NA	NA	2	1	NA	NA	6	1	NA	2	NA	NA	NA	NA	6	125
"352"	""	1961	6	11	5	10	28.1	NA	NA	"IRAN"	140	"IRAN:  DEHKUYEH,KHANEH,LAR,SHAGHEB,NOKHRIZ,BIGHU"	27.861	54.528	15	6.4	8	60	2	NA	NA	NA	3	NA	3	500	3	NA	NA	61	2	NA	NA	NA	3	NA	3	500	3	NA	NA	6	138
"353"	""	1961	8	19	5	33	0	NA	NA	"JAPAN"	30	"JAPAN:  HONSHU:  W COAST"	36	136.7	NA	7.3	NA	10	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	63
"354"	""	1961	12	20	13	25	0	NA	NA	"COLOMBIA"	160	"COLOMBIA: EJE CAFETERO"	4.49	-75.51	163	6.8	8	23	1	NA	NA	100	2	NA	2	NA	1	NA	2	23	1	NA	NA	100	2	NA	2	NA	1	NA	2	6	32
"355"	""	1962	1	7	10	3	0	NA	NA	"CROATIA"	130	"BALKANS NW:  CROATIA"	43.3	17.1	33	5.9	8	4	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	4	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	5
"356"	""	1962	1	11	5	5	0	5631	NA	"CROATIA"	130	"BALKANS NW:  CROATIA"	43.3	17.1	33	6.1	9	1	1	NA	NA	NA	NA	NA	2	2290	4	NA	NA	1	1	NA	NA	NA	NA	NA	2	2290	4	NA	NA	6	5
"357"	""	1962	3	18	15	30	0	NA	NA	"ALBANIA"	130	"ALBANIA"	40.9	19.5	33	6	NA	15	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	11
"358"	""	1962	3	18	20	18	53	NA	NA	"CHINA"	30	"CHINA:  GUANGDONG PROVINCE"	23.72	114.67	25	6.1	8	1	1	NA	NA	2	1	NA	3	1200	4	NA	NA	1	1	NA	NA	2	1	NA	3	1200	4	NA	NA	6	152
"359"	""	1962	4	1	0	45	13.4	NA	NA	"IRAN"	140	"IRAN:  MUSSAVIEH"	33.32	58.845	15	5.8	7	20	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	20	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	138
"360"	""	1962	4	18	19	14	0	NA	NA	"PERU"	160	"PERU:  CASMA,HUARAZ,QUIRUVILCA,TRUJILLO"	-10	-79	39	6.3	NA	9	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	67
"361"	""	1962	4	30	2	26	30	NA	NA	"JAPAN"	30	"JAPAN:  HONSHU:  SENDAI"	38.8	140.9	104	6.8	NA	1	1	NA	NA	NA	3	NA	2	NA	NA	NA	NA	1	1	NA	NA	NA	3	NA	2	NA	NA	NA	NA	6	63
"362"	""	1962	5	11	14	11	54.1	1931	NA	"MEXICO"	150	"MEXICO:  S"	17.2	-99.6	40	7	8	4	1	NA	NA	NA	3	NA	2	NA	2	NA	NA	4	1	NA	NA	NA	3	NA	2	NA	2	NA	NA	7	53
"363"	""	1962	5	19	14	58	15	1932	NA	"MEXICO"	150	"MEXICO:  S"	17.2	-99.5	33	7.2	NA	3	1	NA	NA	16	1	NA	2	NA	2	NA	NA	3	1	NA	NA	16	1	NA	2	NA	2	NA	NA	7	53
"364"	""	1962	7	30	20	18	52.3	NA	NA	"COLOMBIA"	160	"COLOMBIA:  MISTRATO, MANIZALES"	5.2	-76.4	69	6.8	NA	47	1	NA	NA	300	3	NA	3	NA	NA	NA	3	47	1	NA	NA	300	3	NA	3	NA	NA	NA	3	6	32
"365"	""	1962	8	21	18	19	0	NA	NA	"ITALY"	130	"ITALY:  S"	41.4	15.5	34	6.1	NA	16	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	42
"366"	""	1962	8	28	10	59	0	NA	NA	"GREECE"	130	"GREECE:  S"	37.8	22.9	100	6.8	NA	1	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	46
"367"	""	1962	9	1	19	20	39.9	NA	NA	"IRAN"	140	"IRAN:   BUYIN-ZARA"	35.63	49.87	27	7.2	9	12225	4	NA	NA	2776	4	30	4	21310	4	NA	NA	12225	4	NA	NA	2776	4	30	4	21310	4	NA	NA	7	138
"368"	""	1962	9	4	22	59	0	NA	NA	"TURKEY"	140	"TURKEY:  IGDIR"	39.9	43.9	NA	5.5	6	1	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	104
"369"	""	1962	10	5	20	2	0	NA	NA	"IRAN"	140	"IRAN:  TORBAT HEYDARIYEH, AKHMEDABAD"	35.1	58.7	8	5	8	6	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	6	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	138
"370"	""	1963	2	13	8	50	4.5	1940	NA	"TAIWAN"	30	"TAIWAN:  TAIPEI, HSINCH"	24.5	122.1	47	7.3	NA	15	1	NA	NA	18	1	NA	2	NA	2	NA	NA	15	1	NA	NA	18	1	NA	2	NA	2	NA	NA	7	54
"371"	""	1963	3	31	2	27	6.5	NA	NA	"IRAN"	140	"IRAN:  HENDOJAN"	37	57.9	33	5	6	4	1	NA	NA	70	2	NA	2	100	2	NA	NA	4	1	NA	NA	70	2	NA	2	100	2	NA	NA	5	138
"372"	""	1963	7	29	6	10	0	NA	NA	"IRAN"	140	"IRAN:  GAHKOM,LAIGAZAN,PATKUIYEH,GOLRUIYEH,GANJ"	27.8	55.6	37	5.2	NA	5	1	NA	NA	8	1	NA	2	350	3	NA	NA	5	1	NA	NA	8	1	NA	2	350	3	NA	NA	5	138
"373"	""	1963	8	29	8	53	50	NA	NA	"CHINA"	40	"CHINA:  XINJIANG"	39.8	74.2	NA	6.5	NA	1	1	NA	NA	NA	NA	NA	1	40	1	NA	NA	1	1	NA	NA	NA	NA	NA	1	40	1	NA	NA	6	152
"374"	""	1963	9	2	1	34	0	NA	NA	"INDIA"	60	"INDIA:  KASHMIR:  SW"	33.9	74.8	25	5.3	NA	80	2	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	32
"375"	""	1963	9	18	16	58	14.8	4290	NA	"TURKEY"	140	"TURKEY:  YALOVA:  CINARCIK"	40.698	29.159	30	6.2	8	1	1	NA	NA	NA	2	NA	2	7	1	163	3	1	1	NA	NA	NA	2	NA	2	7	1	163	3	6	104
"376"	""	1963	9	24	16	30	16	1945	NA	"PERU"	160	"PERU:  HUAYLLACAYAN,CAJACAY,MALYAS,MALVAS,HUARAZ"	-10.385	-78.022	75	7	NA	1	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	2	NA	NA	NA	2	7	67
"377"	""	1964	1	8	22	30	49.7	NA	NA	"INDONESIA"	170	"INDONESIA:  SULAWESI:  PINRANG"	-3.7	119.4	90	5.2	NA	8	1	NA	NA	27	1	NA	2	NA	NA	NA	NA	8	1	NA	NA	27	1	NA	2	NA	NA	NA	NA	5	125
"378"	""	1964	1	18	12	4	41	NA	NA	"TAIWAN"	30	"TAIWAN:  TAINAN"	23.2	120.6	33	7	NA	107	3	NA	NA	479	3	NA	3	3000	4	NA	NA	107	3	NA	NA	479	3	NA	3	3000	4	NA	NA	7	54
"379"	""	1964	3	28	3	36	0	1954	NA	"USA"	150	"ALASKA"	61.017	-147.648	33	9.2	10	15	1	NA	NA	NA	NA	284	4	NA	3	NA	NA	139	3	NA	NA	NA	NA	400	4	NA	3	NA	NA	9	36
"380"	""	1964	4	13	8	30	0	NA	NA	"CROATIA"	130	"BALKANS NW:  CROATIA"	45.3	18.1	32	6	8	3	1	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	5
"381"	""	1964	5	7	5	45	0	NA	NA	"TANZANIA"	10	"TANZANIA"	-4	34.9	33	6	NA	1	1	NA	NA	19	1	NA	3	NA	NA	NA	NA	1	1	NA	NA	19	1	NA	3	NA	NA	NA	NA	6	5
"382"	""	1964	6	14	12	16	0	NA	NA	"TURKEY"	140	"TURKEY:  MALATYA,ADIYAMAN"	38.1	38.3	NA	6.1	8	8	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	104
"383"	""	1964	6	16	4	1	44.3	1959	NA	"JAPAN"	30	"JAPAN:  HONSHU:  W COAST"	38.65	139.2	40	7.5	5	26	1	NA	NA	450	3	80	4	2250	4	2250	4	26	1	NA	NA	450	3	80	4	2250	4	NA	NA	7	63
"384"	""	1964	7	6	7	22	13.2	NA	NA	"MEXICO"	150	"MEXICO:  GUERRERO"	18.136	-100.605	93	7.3	NA	78	2	NA	NA	50	1	NA	3	NA	3	NA	NA	78	2	NA	NA	50	1	NA	3	NA	3	NA	NA	7	53
"385"	""	1964	10	6	14	31	25.4	NA	NA	"TURKEY"	140	"TURKEY:  MANYAS, BURSA, BALIKESIR"	40.203	28.206	27	6.8	10	19	1	NA	NA	NA	NA	5	2	NA	NA	NA	NA	19	1	NA	NA	NA	NA	5	2	NA	NA	NA	NA	6	104
"386"	""	1965	1	1	21	38	29.2	NA	NA	"ALGERIA"	15	"ALGERIA:  M'SILA"	35.7	4.4	10	5.5	NA	4	1	NA	NA	350	3	2	2	25000	4	NA	NA	4	1	NA	NA	350	3	2	2	2500	4	NA	NA	5	22
"387"	""	1965	1	24	0	11	12.1	1963	NA	"INDONESIA"	170	"INDONESIA:  SANANA ISLAND"	-2.4	126.1	6	7.6	NA	71	2	NA	NA	NA	NA	NA	2	3000	4	NA	NA	71	2	NA	NA	NA	NA	NA	2	3000	4	NA	NA	7	125
"388"	""	1965	2	10	16	9	52.6	NA	NA	"IRAN"	140	"IRAN:  NW"	37.684	46.998	52	5.3	NA	20	1	NA	NA	NA	NA	NA	3	NA	4	NA	3	20	1	NA	NA	NA	NA	NA	3	NA	4	NA	3	5	138
"389"	""	1965	3	9	17	57	53.7	3042	NA	"GREECE"	130	"GREECE:  ALONISOS, SKOPELOS"	39.4	24	18	6.3	NA	38	1	NA	NA	253	3	8	3	NA	NA	NA	NA	38	1	NA	NA	253	3	8	3	NA	3	NA	NA	6	46
"390"	""	1965	3	28	16	33	0	NA	NA	"CHILE"	160	"CHILE:  CENTRAL"	-32.4	-71.2	61	7.3	NA	400	3	NA	NA	NA	NA	125	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	43
"391"	""	1965	3	31	9	47	0	NA	NA	"GREECE"	130	"GREECE"	38.6	22.4	78	7.1	10	6	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	46
"392"	""	1965	4	5	3	12	54.2	NA	NA	"GREECE"	130	"GREECE:  SOUTHERN"	37.7	21.8	34	6.2	10	32	1	NA	NA	200	3	NA	3	NA	3	NA	NA	32	1	NA	NA	200	3	NA	3	NA	3	NA	NA	6	46
"393"	""	1965	4	19	23	41	58.8	5505	NA	"JAPAN"	30	"JAPAN:  AICHI, SHIZOUKA PREFECTURES"	34.9	138	36	6	NA	1	1	NA	NA	4	1	NA	1	NA	NA	NA	NA	1	1	NA	NA	4	1	NA	1	NA	NA	NA	NA	6	63
